#{"t_start": 1754139836.3700724, "env_id": "None"}
r,l,t
-116.5,500,4.710562
-80.5,500,5.36554
-61.5,500,6.012996
-32.5,500,6.860338
-46.0,500,7.595218
-44.5,500,8.276955
-8.5,500,8.973944
-53.0,500,9.753666
-15.5,500,10.409552
-31.0,500,11.084677
-5.0,500,11.948473
-156.0,500,12.683279
-12.5,500,13.391749
-6.0,500,14.020789
-5.0,500,14.667451
-9.0,500,15.311393
-253.5,500,16.186823
-6.0,500,16.877932
-72.5,500,17.618863
-122.5,500,18.285151
-162.5,500,18.986697
-10.5,500,19.675503
-5.0,500,20.329661
-21.0,500,21.00154
-6.0,500,21.641709
-9.0,500,22.351197
-119.5,500,23.007998
-94.5,500,23.707878
-21.5,500,24.408189
-6.0,500,25.069672
-9.0,500,25.727225
-255.0,500,26.486862
-160.5,500,27.256775
-253.5,500,28.023261
-153.0,500,28.686284
-180.0,500,29.31041
-254.5,500,29.939668
-112.0,500,30.607769
-17.5,500,31.258194
-115.5,500,31.934161
-10.0,500,32.751634
-7.0,500,33.468642
-5.0,500,34.12058
-255.0,500,34.812036
-23.0,500,35.502364
-131.5,500,36.14259
-167.5,500,36.797886
-5.0,500,37.453374
-20.0,500,38.315956
-10.0,500,38.951318
-176.0,500,39.649903
-7.0,500,40.352371
-13.5,500,41.008294
-76.0,500,41.683288
-10.0,500,42.506313
-8.5,500,43.201539
-5.5,500,43.924221
-255.0,500,44.642763
-56.5,500,45.301491
-10.5,500,45.955091
-253.5,500,46.639852
-18.5,500,47.350337
-12.5,500,48.071385
-5.5,500,48.89637
-254.5,500,49.638463
-6.5,500,50.386509
-58.5,500,51.170447
-5.5,500,51.818671
-91.0,500,52.457735
-16.5,500,53.151527
-254.0,500,53.896367
-23.5,500,54.559664
-6.0,500,55.179849
-240.5,500,55.85294
-115.5,500,56.557602
-250.5,500,57.218863
-27.0,500,57.934435
-254.5,500,58.589031
-254.0,500,59.38891
-6.0,500,59.984797
-48.0,500,60.703289
-255.0,500,61.312251
-6.5,500,62.111266
-253.0,500,62.77613
-253.5,500,63.456781
-253.5,500,64.264032
-254.0,500,64.987914
-25.0,500,65.67353
-255.0,500,66.446937
-243.0,500,67.195943
-9.0,500,67.92492
-12.0,500,68.595433
-15.0,500,69.322591
-5.5,500,70.08731
-247.0,500,70.816766
-49.5,500,71.505316
-244.5,500,72.20093
-254.0,500,72.936804
-7.5,500,73.750891
-54.0,500,74.621807
-8.0,500,75.731206
-6.5,500,76.517154
-5.0,500,77.271316
-5.0,500,78.489184
-106.5,500,79.555558
-17.5,500,81.025438
-8.5,500,83.170711
-6.5,500,85.581562
-7.5,500,87.661062
-5.0,500,89.562518
-134.0,500,92.330837
-12.0,500,94.140808
-27.0,500,96.860807
-17.0,500,98.476797
-5.0,500,99.626786
-253.0,500,103.474313
-5.0,500,105.470008
-255.0,500,107.020817
-152.5,500,108.937707
-253.0,500,110.491559
-132.0,500,112.245867
-7.0,500,113.498625
-17.5,500,116.226156
-8.0,500,117.4329
-8.0,500,119.276628
-255.0,500,122.442883
-9.0,500,125.20398
-183.5,500,126.820534
-15.0,500,130.262952
-253.0,500,131.784957
-9.0,500,133.080967
-5.0,500,134.473469
-5.0,500,135.721386
-252.0,500,137.174345
-94.5,500,138.470306
-253.5,500,139.719326
-17.5,500,141.750933
-240.5,500,143.078413
-235.0,500,144.633013
-8.5,500,145.923884
-9.0,500,147.322895
-6.0,500,149.438475
-255.0,500,150.702062
-12.5,500,151.922818
-254.5,500,153.348088
-58.5,500,154.613615
-254.5,500,155.845232
-253.5,500,158.808997
-5.0,500,159.991153
-8.0,500,161.207023
-255.0,500,164.151552
-203.0,500,165.529645
-252.5,500,167.36262
-5.0,500,169.103715
-5.0,500,170.755669
-254.0,500,173.052657
-5.0,500,175.933829
-29.0,500,178.32229
-255.0,500,179.620775
-109.0,500,181.405694
-254.5,500,184.774182
-29.5,500,186.455706
-255.0,500,188.00726
-254.0,500,189.850825
-74.0,500,191.26373
-48.0,500,192.559772
-6.0,500,193.82864
-255.0,500,194.851809
-254.0,500,195.375492
-11.0,500,195.90474
-255.0,500,196.466869
-37.5,500,196.990319
-250.0,500,197.664236
-15.0,500,198.164629
-241.0,500,198.638324
-255.0,500,199.125808
-10.5,500,199.652882
-52.5,500,200.112002
-6.0,500,200.648622
-53.0,500,201.149316
-5.5,500,201.654559
-248.0,500,202.098917
-62.0,500,202.599672
-251.5,500,203.069515
-255.0,500,203.557576
-12.0,500,204.032727
-254.5,500,204.48305
-251.5,500,204.949404
-118.0,500,205.489895
-13.0,500,206.035722
-38.0,500,206.538345
-5.0,500,207.015328
-246.0,500,207.517297
-16.5,500,208.013855
-5.0,500,208.526811
-5.5,500,209.05419
-5.0,500,209.549653
-254.0,500,210.022093
-239.5,500,210.502659
-38.5,500,211.015638
