#{"t_start": 1754140960.1297174, "env_id": "None"}
r,l,t
-117.5,500,2.002262
-105.5,500,2.036494
-115.0,500,3.791911
-109.5,500,3.823572
-106.0,500,3.876037
-97.5,500,3.905081
-120.5,500,3.940642
-117.5,500,3.978004
-119.5,500,4.005459
-111.5,500,4.047052
-114.0,500,5.3589
-108.0,500,5.955764
-109.5,500,6.619157
-102.5,500,7.28912
-100.5,500,7.857151
-98.5,500,8.492876
-107.0,500,9.208644
-84.0,500,9.902917
-94.0,500,10.595019
-107.0,500,11.272741
-111.5,500,12.089944
-104.0,500,12.803207
-106.0,500,13.456802
-87.0,500,14.08968
-108.5,500,14.712432
-96.5,500,15.352482
-107.5,500,15.993806
-101.0,500,16.616475
-88.0,500,17.323246
-104.5,500,18.017384
-93.0,500,18.730508
-95.0,500,19.41883
-102.0,500,20.172087
-104.0,500,20.949229
-95.0,500,21.63033
-119.5,500,22.353467
-80.5,500,23.099219
-82.5,500,23.792219
-82.5,500,24.490193
-81.5,500,25.18038
-92.0,500,25.856755
-88.5,500,26.572012
-96.5,500,27.343595
-79.5,500,28.115479
-82.5,500,28.810663
-94.5,500,29.550018
-88.5,500,30.256324
-84.0,500,30.955173
-83.5,500,31.656013
-69.0,500,32.439138
-93.5,500,33.223459
-80.0,500,34.022866
-91.0,500,34.771678
-82.5,500,35.488323
-87.0,500,36.22355
-96.5,500,36.972547
-77.0,500,37.824535
-81.0,500,38.579541
-77.5,500,39.305493
-59.0,500,40.065201
-71.0,500,40.837909
-73.0,500,41.571598
-94.5,500,42.383785
-96.0,500,43.194297
-67.0,500,43.939309
-60.0,500,44.723063
-80.5,500,45.507932
-71.0,500,46.287719
-71.0,500,47.110181
-54.0,500,47.938998
-79.0,500,48.750366
-64.0,500,49.52256
-55.0,500,50.306669
-54.0,500,51.087377
-51.5,500,51.927293
-78.5,500,52.716198
-39.5,500,53.571405
-63.0,500,54.405431
-52.0,500,55.221316
-69.0,500,56.040058
-47.5,500,56.922435
-66.0,500,57.722355
-49.0,500,58.67672
-66.5,500,59.552672
-92.5,500,60.497528
-103.0,500,61.305052
-108.5,500,62.105217
-40.0,500,62.988028
-90.0,500,63.901771
-55.0,500,64.745422
-42.0,500,65.58732
-36.0,500,66.45644
-91.0,500,67.419121
-33.0,500,68.389322
-82.5,500,69.335279
-76.5,500,70.253711
-27.5,500,71.069364
-43.5,500,71.943337
-42.0,500,72.821889
-124.0,500,73.772526
-17.0,500,74.75466
-105.0,500,75.692799
-18.5,500,76.570411
-36.0,500,77.48769
-41.5,500,78.403711
-45.5,500,79.310675
-28.5,500,80.259012
-65.5,500,81.210793
-78.0,500,82.210648
-63.0,500,83.155452
-56.0,500,84.079634
-66.5,500,85.051199
-70.0,500,86.004047
-53.0,500,87.004627
-82.5,500,88.05859
-40.5,500,89.061005
-24.0,500,90.075049
-32.5,500,91.038443
-9.5,500,91.967392
-18.5,500,92.941878
-48.0,500,93.852813
-139.5,500,94.838503
-64.5,500,95.800026
-17.5,500,96.772642
-12.0,500,97.669974
-87.5,500,98.630023
-91.0,500,99.571452
-91.5,500,100.542643
-31.0,500,101.508025
-77.5,500,102.432557
-129.0,500,103.358284
-84.0,500,104.297584
-22.0,500,105.216891
-7.0,500,106.166576
-9.0,500,107.054417
-63.5,500,107.9825
-86.5,500,108.947122
-9.5,500,109.871207
-107.5,500,110.960466
-21.5,500,111.83729
-158.0,500,112.815809
-12.0,500,113.695486
-9.5,500,114.636695
-114.5,500,115.603126
-32.0,500,116.504107
-7.5,500,117.494035
-25.5,500,118.501101
-218.5,500,119.565429
-144.5,500,120.50477
-67.5,500,121.520205
-19.0,500,122.469409
-11.0,500,123.447868
-11.0,500,124.378229
-32.5,500,125.384483
-86.0,500,126.319906
-69.5,500,127.347564
-8.0,500,128.259179
-12.5,500,129.142335
-52.0,500,130.037945
-99.5,500,130.948194
-11.0,500,131.852062
-54.5,500,132.789966
-247.5,500,133.750005
-50.5,500,134.704234
-74.5,500,135.621668
-11.5,500,136.594311
-78.5,500,137.504966
-13.0,500,138.431056
-17.5,500,139.320481
-13.5,500,140.27183
-31.5,500,141.364264
-10.5,500,142.336384
-123.5,500,143.42251
-63.5,500,144.360473
-187.5,500,145.330009
-232.0,500,146.272674
-77.0,500,147.252412
-39.0,500,148.150508
-49.5,500,149.142511
-10.5,500,150.135125
-115.5,500,151.094032
-35.5,500,152.241348
-72.5,500,153.213575
-112.0,500,154.135013
-82.5,500,155.043668
-101.0,500,156.022176
-11.0,500,156.936774
-22.0,500,157.88804
-93.0,500,158.809651
-9.5,500,159.75402
-33.0,500,160.727234
-53.0,500,161.63951
-44.5,500,162.635515
-72.5,500,163.56854
-150.0,500,164.484428
-89.5,500,165.457764
-71.0,500,166.387161
-9.0,500,167.408651
-235.5,500,168.3204
-110.5,500,169.252621
-7.5,500,170.353718
-65.5,500,171.378275
-12.5,500,172.375628
-195.0,500,173.407779
-202.0,500,174.370691
-132.5,500,175.404124
-155.0,500,176.323988
-41.5,500,177.353536
-95.0,500,178.406134
-64.5,500,179.453305
-12.5,500,180.371542
-24.5,500,181.287024
-26.0,500,182.254024
-219.5,500,183.203941
-254.0,500,184.180189
-69.0,500,185.166639
-19.0,500,186.141407
-108.5,500,187.142226
-142.0,500,188.168862
-52.0,500,189.164876
-73.0,500,190.136726
-75.5,500,191.065697
-61.5,500,192.019793
-189.0,500,193.024296
-49.0,500,193.956629
-150.0,500,194.889024
-58.0,500,195.875442
-32.0,500,196.784638
-9.5,500,197.753382
-84.0,500,198.720291
-160.0,500,199.685978
-10.0,500,200.753691
-140.5,500,201.786636
-50.0,500,202.754185
-58.5,500,203.862565
-8.5,500,204.788675
-15.5,500,205.729709
-40.0,500,206.662637
-14.5,500,207.551853
-36.0,500,208.593485
-17.0,500,209.559244
-11.0,500,210.483163
-63.5,500,211.358093
-85.0,500,212.219218
-184.0,500,213.208024
-200.5,500,214.152445
-218.0,500,215.253224
