#{"t_start": 1754140207.3425078, "env_id": "None"}
r,l,t
-130.5,500,2.137145
-109.0,500,2.42812
-103.5,500,2.727283
-126.0,500,3.029527
-107.0,500,6.139102
-94.0,500,6.486776
-111.5,500,6.758263
-99.0,500,7.057247
-69.0,500,9.074155
-93.0,500,9.340541
-82.0,500,9.606664
-95.5,500,9.890985
-89.0,500,11.906072
-81.0,500,12.205737
-68.0,500,12.473012
-58.5,500,12.742522
-65.5,500,14.873819
-61.0,500,15.161613
-56.0,500,15.548008
-64.0,500,15.806321
-45.5,500,18.317632
-52.5,500,18.57763
-37.0,500,18.864846
-38.0,500,19.123588
-54.5,500,21.341256
-46.5,500,21.615847
-31.5,500,21.979564
-56.5,500,22.290371
-70.0,500,25.097918
-43.5,500,25.416749
-51.0,500,25.742318
-53.0,500,26.0561
-31.0,500,28.369205
-38.0,500,28.652627
-45.5,500,28.928865
-42.5,500,29.213646
-31.0,500,35.975601
-38.5,500,36.867111
-49.0,500,37.890272
-44.5,500,38.870662
-45.0,500,41.584042
-73.0,500,41.86373
-34.5,500,42.151298
-36.0,500,42.463837
-58.5,500,42.75139
-49.0,500,45.51036
-50.0,500,45.816722
-43.5,500,46.112944
-46.5,500,46.46463
-31.5,500,50.440727
-29.0,500,51.30574
-48.0,500,52.484977
-37.0,500,53.477615
-38.0,500,61.610933
-49.5,500,62.75609
-61.5,500,64.046195
-32.0,500,64.973606
-28.0,500,69.582615
-41.5,500,69.829197
-31.0,500,70.109629
-41.5,500,70.355917
-25.0,500,72.585296
-18.5,500,72.855002
-31.0,500,73.154491
-30.0,500,73.444106
-44.0,500,75.811141
-14.5,500,76.073076
-38.5,500,76.34757
-52.0,500,76.631335
-35.0,500,78.958137
-16.5,500,79.22636
-42.0,500,79.496876
-33.5,500,79.760801
-36.0,500,82.128706
-50.0,500,82.416198
-35.5,500,82.688132
-38.5,500,82.96011
-31.0,500,85.862571
-16.5,500,86.214517
-22.5,500,86.498873
-33.0,500,86.775225
-23.5,500,89.222106
-36.5,500,90.065599
-38.0,500,90.929874
-56.0,500,91.769904
-11.5,500,92.527037
-33.5,500,98.707923
-48.5,500,99.633793
-45.0,500,100.443803
-32.5,500,101.503911
-39.0,500,108.171212
-48.0,500,108.954875
-47.5,500,109.72256
-38.5,500,110.523156
-32.5,500,121.86166
-42.5,500,122.359231
-53.5,500,122.734748
-42.0,500,123.176898
-34.0,500,126.56053
-30.5,500,127.082075
-47.5,500,127.556567
-29.5,500,127.957282
-43.0,500,131.153134
-42.5,500,131.538009
-25.0,500,131.956919
-20.0,500,132.374954
-25.5,500,135.659719
-36.0,500,136.05337
-14.5,500,136.454093
-15.5,500,136.850445
-39.0,500,140.190087
-30.5,500,140.582773
-44.5,500,140.989529
-16.5,500,141.404366
-31.0,500,144.711169
-22.0,500,145.143504
-37.0,500,145.574143
-32.0,500,145.976754
-38.5,500,149.527687
-31.5,500,150.004358
-31.5,500,150.459086
-27.5,500,150.894532
-14.0,500,155.243517
-78.0,500,155.662032
-25.5,500,156.066701
-33.5,500,156.467232
-50.5,500,159.950616
-29.0,500,160.385334
-17.5,500,160.822739
-6.0,500,161.245812
-29.0,500,161.693383
-9.5,500,165.201943
-14.5,500,165.656092
-54.0,500,166.087508
-20.5,500,166.556468
-29.0,500,170.324646
-20.0,500,170.931221
-44.0,500,171.542446
-19.0,500,172.039352
-23.5,500,176.313578
-12.5,500,176.770871
-10.5,500,177.193955
-17.5,500,177.603962
-23.0,500,181.237094
-13.0,500,181.579391
-9.0,500,181.876322
-43.5,500,182.171147
-7.0,500,184.67121
-25.5,500,184.932662
-10.0,500,185.203809
-11.0,500,185.477987
-17.5,500,188.124845
-7.0,500,188.440678
-23.0,500,188.72039
-12.0,500,189.004719
-30.0,500,191.328784
-13.5,500,191.603591
-9.5,500,191.889153
-17.0,500,192.159714
-11.0,500,194.52211
-20.5,500,194.814079
-15.5,500,195.096453
-32.0,500,195.375707
-5.0,500,197.902325
-11.5,500,198.176108
-8.0,500,198.455322
-126.5,500,198.739054
-12.0,500,201.520501
-28.5,500,201.824173
-6.0,500,202.087326
-8.0,500,202.382417
-5.0,500,202.671266
-11.0,500,205.347222
-10.5,500,205.65051
-7.5,500,205.939379
-11.0,500,206.214231
-5.5,500,208.596809
-9.0,500,208.869568
-8.5,500,209.123937
-15.0,500,209.390574
-8.0,500,212.235199
-6.0,500,212.493756
-15.0,500,212.753497
-8.0,500,213.003715
-8.0,500,215.453183
-7.5,500,215.726039
-29.0,500,215.986012
-8.0,500,216.257693
-6.5,500,218.983068
-5.0,500,219.287595
-5.0,500,219.57408
-11.0,500,219.871843
-5.5,500,222.259842
-5.0,500,222.536631
-5.0,500,222.823903
-9.5,500,223.102776
-11.0,500,225.745166
-7.5,500,226.048745
-7.5,500,226.325842
-39.0,500,226.627837
-5.5,500,229.072315
-5.5,500,229.336823
-6.0,500,229.619781
-7.0,500,229.913568
-62.5,500,232.935155
-5.5,500,233.250968
-5.5,500,233.54695
-10.5,500,233.837302
-11.0,500,236.340532
-8.0,500,236.599895
-12.0,500,236.852313
-8.5,500,237.124492
-59.5,500,240.029995
-31.5,500,240.307689
-5.5,500,240.600348
-19.5,500,240.877303
-7.5,500,241.163656
-5.0,500,243.780259
-6.5,500,244.052081
-6.0,500,244.347595
-6.5,500,244.616841
-9.5,500,247.284709
-5.5,500,247.61083
-6.0,500,247.902808
-60.5,500,248.179334
-7.0,500,250.435147
-5.5,500,250.723674
-17.0,500,250.986006
-9.5,500,251.283083
-10.0,500,253.846075
-7.0,500,254.105689
-8.0,500,254.36701
-7.5,500,254.63984
-7.0,500,257.02294
-16.5,500,257.286259
-7.5,500,257.561265
-5.0,500,257.819446
-6.0,500,260.346455
-15.0,500,260.6013
-9.5,500,260.919254
-8.0,500,261.213722
-5.5,500,264.14054
-6.0,500,264.454193
-6.0,500,264.741313
-7.5,500,265.021718
-6.0,500,267.902239
-5.5,500,268.190612
-7.5,500,268.485831
-6.5,500,268.785202
-6.0,500,271.439354
-5.5,500,271.727225
-7.0,500,272.008484
-6.0,500,272.290762
-7.5,500,274.63499
-6.0,500,274.934968
-10.5,500,275.235868
-6.0,500,275.551446
-47.0,500,275.879899
-5.0,500,279.18714
-6.5,500,279.453014
-5.0,500,279.749034
-24.5,500,280.050842
-10.0,500,285.672648
-10.0,500,286.786367
-7.0,500,287.909649
-6.5,500,288.950973
-8.0,500,297.780347
-17.5,500,298.852276
-6.5,500,299.930408
-15.0,500,300.851332
-43.5,500,310.039885
-13.5,500,311.007284
-8.5,500,312.080781
-18.5,500,313.198292
-7.5,500,321.22728
-18.5,500,322.387389
-9.5,500,323.470548
-5.5,500,324.462396
-14.0,500,332.420454
-5.5,500,333.391653
-10.5,500,334.563811
-13.0,500,335.603503
-7.5,500,343.430841
-28.5,500,344.316107
-5.0,500,345.237549
-9.0,500,346.238633
-6.0,500,355.656729
-12.0,500,356.77413
-7.0,500,357.80132
-8.5,500,358.825839
-17.0,500,369.149949
-9.5,500,370.356608
-14.5,500,371.462535
-22.5,500,372.581952
-7.5,500,382.630152
-7.0,500,383.624675
-9.0,500,384.733011
-7.0,500,385.973589
-6.5,500,387.070343
-5.5,500,396.749748
-6.5,500,397.751406
-5.0,500,398.687992
-31.0,500,399.627946
